Generation,Best_Fitness,Time_to_Target,Max_Theta1,Max_Theta2,Max_X_Deviation,Max_L_Deviation,Max_X_Acceleration,Max_L_Acceleration,Max_X_Jerk,Max_L_Jerk,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,R1,R2,Fitness_ISE_x,Fitness_ISE_l,Fitness_ISE_theta1,Fitness_ISE_theta2,Fitness_MSE_theta1,Fitness_MSE_theta2,Fitness_q_ddot1_value,Fitness_q_ddot3_value,Fitness_MSE_time
1,-62268186.58896927,10.200000000000001,1.2094473137879067,1.219411545793883,0.0020994076107139215,4.149507476147729e-05,0.187158887655756,1.6914010243671078,0.2012368736521521,70.55928737005239,4172993793641.3853,8833632916330.117,6671745893696.457,7605772919942.628,371681605402.02124,551498300891.0392,231468588007.09555,4574319689528.118,69594175.69187732,61295414.61585733,7870.1638294489185,269.193891249795,0.0,76.04590363446965,0.0,892.1787108092564,14.30418712615051,0.0021413996462019903,62259064.700305596
2,-62268186.58896927,10.200000000000001,1.2094473137879067,1.219411545793883,0.0020994076107139215,4.149507476147729e-05,0.187158887655756,1.6914010243671078,0.2012368736521521,70.55928737005239,4172993793641.3853,8833632916330.117,6671745893696.457,7605772919942.628,371681605402.02124,551498300891.0392,231468588007.09555,4574319689528.118,69594175.69187732,61295414.61585733,7870.1638294489185,269.193891249795,0.0,76.04590363446965,0.0,892.1787108092564,14.30418712615051,0.0021413996462019903,62259064.700305596
3,-62268186.58896927,10.200000000000001,1.2094473137879067,1.219411545793883,0.0020994076107139215,4.149507476147729e-05,0.187158887655756,1.6914010243671078,0.2012368736521521,70.55928737005239,4172993793641.3853,8833632916330.117,6671745893696.457,7605772919942.628,371681605402.02124,551498300891.0392,231468588007.09555,4574319689528.118,69594175.69187732,61295414.61585733,7870.1638294489185,269.193891249795,0.0,76.04590363446965,0.0,892.1787108092564,14.30418712615051,0.0021413996462019903,62259064.700305596
4,-62268186.58896927,10.200000000000001,1.2094473137879067,1.219411545793883,0.0020994076107139215,4.149507476147729e-05,0.187158887655756,1.6914010243671078,0.2012368736521521,70.55928737005239,4172993793641.3853,8833632916330.117,6671745893696.457,7605772919942.628,371681605402.02124,551498300891.0392,231468588007.09555,4574319689528.118,69594175.69187732,61295414.61585733,7870.1638294489185,269.193891249795,0.0,76.04590363446965,0.0,892.1787108092564,14.30418712615051,0.0021413996462019903,62259064.700305596
5,-23162699.382179465,9.55,3.424340733184603,3.4853646322011724,0.002725238221514603,2.4878451327925433e-06,0.4581799370697551,9.81,0.9739016947713064,491.7006066702873,9649094110881.094,8876826443328.418,6671745893696.457,3632046014209.791,435455482918.0369,478431374340.3125,664372477387.1542,1574450137709.4456,20788641.71345477,830732.9254571331,2391.815334499431,169.91154926753984,0.0,483.25977272142455,0.0,7288.659971639288,481.18050000000005,0.078824694779433,23151884.476226643
6,-23162699.382179465,9.55,3.424340733184603,3.4853646322011724,0.002725238221514603,2.4878451327925433e-06,0.4581799370697551,9.81,0.9739016947713064,491.7006066702873,9649094110881.094,8876826443328.418,6671745893696.457,3632046014209.791,435455482918.0369,478431374340.3125,664372477387.1542,1574450137709.4456,20788641.71345477,830732.9254571331,2391.815334499431,169.91154926753984,0.0,483.25977272142455,0.0,7288.659971639288,481.18050000000005,0.078824694779433,23151884.476226643
7,-23162699.382179465,9.55,3.424340733184603,3.4853646322011724,0.002725238221514603,2.4878451327925433e-06,0.4581799370697551,9.81,0.9739016947713064,491.7006066702873,9649094110881.094,8876826443328.418,6671745893696.457,3632046014209.791,435455482918.0369,478431374340.3125,664372477387.1542,1574450137709.4456,20788641.71345477,830732.9254571331,2391.815334499431,169.91154926753984,0.0,483.25977272142455,0.0,7288.659971639288,481.18050000000005,0.078824694779433,23151884.476226643
8,-23162699.382179465,9.55,3.424340733184603,3.4853646322011724,0.002725238221514603,2.4878451327925433e-06,0.4581799370697551,9.81,0.9739016947713064,491.7006066702873,9649094110881.094,8876826443328.418,6671745893696.457,3632046014209.791,435455482918.0369,478431374340.3125,664372477387.1542,1574450137709.4456,20788641.71345477,830732.9254571331,2391.815334499431,169.91154926753984,0.0,483.25977272142455,0.0,7288.659971639288,481.18050000000005,0.078824694779433,23151884.476226643
9,-23162699.382179465,9.55,3.424340733184603,3.4853646322011724,0.002725238221514603,2.4878451327925433e-06,0.4581799370697551,9.81,0.9739016947713064,491.7006066702873,9649094110881.094,8876826443328.418,6671745893696.457,3632046014209.791,435455482918.0369,478431374340.3125,664372477387.1542,1574450137709.4456,20788641.71345477,830732.9254571331,2391.815334499431,169.91154926753984,0.0,483.25977272142455,0.0,7288.659971639288,481.18050000000005,0.078824694779433,23151884.476226643
10,-23162699.382179465,9.55,3.424340733184603,3.4853646322011724,0.002725238221514603,2.4878451327925433e-06,0.4581799370697551,9.81,0.9739016947713064,491.7006066702873,9649094110881.094,8876826443328.418,6671745893696.457,3632046014209.791,435455482918.0369,478431374340.3125,664372477387.1542,1574450137709.4456,20788641.71345477,830732.9254571331,2391.815334499431,169.91154926753984,0.0,483.25977272142455,0.0,7288.659971639288,481.18050000000005,0.078824694779433,23151884.476226643
11,-23162699.382179465,9.55,3.424340733184603,3.4853646322011724,0.002725238221514603,2.4878451327925433e-06,0.4581799370697551,9.81,0.9739016947713064,491.7006066702873,9649094110881.094,8876826443328.418,6671745893696.457,3632046014209.791,435455482918.0369,478431374340.3125,664372477387.1542,1574450137709.4456,20788641.71345477,830732.9254571331,2391.815334499431,169.91154926753984,0.0,483.25977272142455,0.0,7288.659971639288,481.18050000000005,0.078824694779433,23151884.476226643
12,-23162699.382179465,9.55,3.424340733184603,3.4853646322011724,0.002725238221514603,2.4878451327925433e-06,0.4581799370697551,9.81,0.9739016947713064,491.7006066702873,9649094110881.094,8876826443328.418,6671745893696.457,3632046014209.791,435455482918.0369,478431374340.3125,664372477387.1542,1574450137709.4456,20788641.71345477,830732.9254571331,2391.815334499431,169.91154926753984,0.0,483.25977272142455,0.0,7288.659971639288,481.18050000000005,0.078824694779433,23151884.476226643
13,-23162699.382179465,9.55,3.424340733184603,3.4853646322011724,0.002725238221514603,2.4878451327925433e-06,0.4581799370697551,9.81,0.9739016947713064,491.7006066702873,9649094110881.094,8876826443328.418,6671745893696.457,3632046014209.791,435455482918.0369,478431374340.3125,664372477387.1542,1574450137709.4456,20788641.71345477,830732.9254571331,2391.815334499431,169.91154926753984,0.0,483.25977272142455,0.0,7288.659971639288,481.18050000000005,0.078824694779433,23151884.476226643
14,-23162364.181704767,9.55,3.4331122810635906,3.494091111237743,0.0022321850450501834,2.9642226319070986e-06,0.45941350321744523,4.15605259452673,0.9837431099567112,184.1093799649376,9649094110881.094,8876826443328.418,6671745893696.457,2724127121882.5703,435455482918.0369,478431374340.3125,664372477387.1542,1574450137709.4456,20788641.71345477,10978975.948508985,2393.8234060505133,188.44303133612698,0.0,485.79222274780045,0.0,7325.2036161783635,86.3638658423618,0.07933596819434625,23151884.476226643
