Generation,Best_Fitness,Time_to_Target,Max_Theta1,Max_Theta2,Max_X_Deviation,Max_L_Deviation,Max_X_Acceleration,Max_L_Acceleration,Max_X_Jerk,Max_L_Jerk,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,R1,R2,Fitness_ISE_x,Fitness_ISE_l,Fitness_ISE_theta1,Fitness_ISE_theta2,Fitness_MSE_theta1,Fitness_MSE_theta2,Fitness_q_ddot1_value,Fitness_q_ddot3_value,Fitness_MSE_time
1,-17475232789.526375,17.76,1.00443288758185,1.0097975153407914,0.0011418252210333435,4.105249383146159e-05,0.1588789700724495,1.9792809284243638,0.27686383215899796,90.53157787817494,9983245791809.05,9932627265423.361,1116544840.1019185,6601885990398.042,615975061012.1996,337456076078.8449,5988933696617.093,9241334715424.004,41095045.826296024,4853375.599141913,11600.175073190416,227.0260211082638,0.0,70.27587486144716,0.0,611.8146131930615,19.587764968122055,0.0010123650248499286,17475220260.646015
2,-5875773922.358695,15.57,1.4251323804079619,1.4326441936270788,0.04807338239067804,0.0009603671740565645,0.22683515088553666,0.37710457332413877,0.5826547905645179,12.881497869152808,9983245791809.05,9932627265423.361,2600551063638.6685,2340398018716.4155,615975061012.1996,337456076078.8449,5988933696617.093,2285287292442.321,22423789.47744802,58013231.9169936,10884.416550627022,425.5005310236271,0.0,143.23130002853003,0.0,1231.4816313200297,0.7110392961099038,0.0019034918360606834,5875761237.015739
3,-3382809554.851368,14.63,0.9205456184975973,0.9264414683154568,0.0025732569358272173,4.1091726188269284e-05,0.14320646609638044,1.9792809284265982,0.12807716899470126,90.53157787855586,9983245791809.05,9932627265423.361,2600551063638.6685,2340398018716.4155,615975061012.1996,337456076078.8449,609597458433.4231,5659179228183.076,41095045.826296024,4853375.599141913,10445.89011218883,227.02603019961424,0.0,40.840460974646945,0.0,514.9762765286997,19.587764968166283,0.0010213231762474424,3382798306.5297017
4,-3382809554.851368,14.63,0.9205456184975973,0.9264414683154568,0.0025732569358272173,4.1091726188269284e-05,0.14320646609638044,1.9792809284265982,0.12807716899470126,90.53157787855586,9983245791809.05,9932627265423.361,2600551063638.6685,2340398018716.4155,615975061012.1996,337456076078.8449,609597458433.4231,5659179228183.076,41095045.826296024,4853375.599141913,10445.89011218883,227.02603019961424,0.0,40.840460974646945,0.0,514.9762765286997,19.587764968166283,0.0010213231762474424,3382798306.5297017
5,-3341001509.111787,14.61,0.9258671446184709,0.9318891983034954,0.002577387565636524,0.0015310996897548446,0.14615365708816697,0.32884275726257056,0.1375556199019086,11.464706769228025,9983245791809.05,9932627265423.361,2600551063638.6685,2340398018716.4155,615975061012.1996,337456076078.8449,609597458433.4231,5659179228183.076,41095045.826296024,68805293.84585755,10546.830014584115,458.9553491795175,0.0,41.334532309556124,0.0,521.0504867488388,0.5406877950202496,0.0010467102335004145,3340989940.3996696
6,-3279064791.179473,14.58,0.9070978790408586,0.9128374744237691,0.0028931563427878615,0.00040903191445740283,0.1425844668843806,0.5105560088256943,0.11788916953610791,17.228734019075496,9983245791809.05,9932627265423.361,2600551063638.6685,2340398018716.4155,615975061012.1996,337456076078.8449,609597458433.4231,490585973815.96027,41095045.826296024,40694947.86705106,10462.651229393072,367.80767168241204,0.0,39.84774775396529,0.0,499.9633528274191,1.3033371907401123,0.0009423984116871667,3279053419.6051917
7,-2205706969.554081,13.97,0.9788988856688985,0.9850003141090485,0.0008687446597939186,0.0003106568374395824,0.15350646926741504,0.5670199628348632,0.2092735022905537,19.179636179344676,9983245791809.05,9932627265423.361,2600551063638.6685,2340398018716.4155,615975061012.1996,337456076078.8449,3216806583190.921,5216387231392.043,43968891.817877434,35717661.466562085,11325.767762060997,350.523593381169,0.0,52.62651911135341,0.0,582.1353712769546,1.6075581912662484,0.0011302092368868858,2205694656.8921466
8,-2205706969.554081,13.97,0.9788988856688985,0.9850003141090485,0.0008687446597939186,0.0003106568374395824,0.15350646926741504,0.5670199628348632,0.2092735022905537,19.179636179344676,9983245791809.05,9932627265423.361,2600551063638.6685,2340398018716.4155,615975061012.1996,337456076078.8449,3216806583190.921,5216387231392.043,43968891.817877434,35717661.466562085,11325.767762060997,350.523593381169,0.0,52.62651911135341,0.0,582.1353712769546,1.6075581912662484,0.0011302092368868858,2205694656.8921466
9,-2205706969.554081,13.97,0.9788988856688985,0.9850003141090485,0.0008687446597939186,0.0003106568374395824,0.15350646926741504,0.5670199628348632,0.2092735022905537,19.179636179344676,9983245791809.05,9932627265423.361,2600551063638.6685,2340398018716.4155,615975061012.1996,337456076078.8449,3216806583190.921,5216387231392.043,43968891.817877434,35717661.466562085,11325.767762060997,350.523593381169,0.0,52.62651911135341,0.0,582.1353712769546,1.6075581912662484,0.0011302092368868858,2205694656.8921466
10,-1767819603.3946257,13.65,0.9731033853599793,0.9791266546533443,0.0008340908463622121,0.00031065960481069244,0.15293529124556776,0.567019962777801,0.2096462700585451,19.17963617560907,9983245791809.05,9932627265423.361,9695124467062.414,2827898147476.7183,615975061012.1996,337456076078.8449,3216806583190.921,9683292052052.895,43968891.817877434,35717661.466562085,11434.800251537563,350.5235884848459,0.0,52.747908590283345,0.0,575.2134035115896,1.607558190942694,0.0010809926909017516,1767807188.5008345
11,-1243925092.023071,13.17,0.968071074818247,0.9731557448481459,0.0025420382301430955,0.00031004541485402104,0.15496430751810306,0.5670199623236913,0.26943128725798077,19.179636152581793,9983245791809.05,9932627265423.361,3460579068572.697,2340398018716.4155,615975061012.1996,337456076078.8449,7576341877944.108,2271771592321.3257,43968891.817877434,35717661.466562085,12539.14910093535,350.5234758842504,0.0,72.17252143963007,0.0,568.2192622385699,1.6075581883678016,0.0007426850414388696,1243911560.3504097
12,-1243925092.023071,13.17,0.968071074818247,0.9731557448481459,0.0025420382301430955,0.00031004541485402104,0.15496430751810306,0.5670199623236913,0.26943128725798077,19.179636152581793,9983245791809.05,9932627265423.361,3460579068572.697,2340398018716.4155,615975061012.1996,337456076078.8449,7576341877944.108,2271771592321.3257,43968891.817877434,35717661.466562085,12539.14910093535,350.5234758842504,0.0,72.17252143963007,0.0,568.2192622385699,1.6075581883678016,0.0007426850414388696,1243911560.3504097
13,-668396213.9406352,12.4,1.002025183082222,1.0071081845913625,0.011637708766615518,0.00034227827163846314,0.1595824182855739,0.5528247179175303,0.30789507367203955,18.465745996158773,9983245791809.05,9820947787032.408,3460579068572.697,2340398018716.4155,615975061012.1996,337456076078.8449,7576341877944.108,5216387231392.043,39879586.99582011,35717661.466562085,12314.388975610713,354.25477497392876,0.0,81.52697398558722,0.0,608.560137282546,1.5280758437029849,0.0011054489572287773,668382853.6805921
14,-668396213.9406352,12.4,1.002025183082222,1.0071081845913625,0.011637708766615518,0.00034227827163846314,0.1595824182855739,0.5528247179175303,0.30789507367203955,18.465745996158773,9983245791809.05,9820947787032.408,3460579068572.697,2340398018716.4155,615975061012.1996,337456076078.8449,7576341877944.108,5216387231392.043,39879586.99582011,35717661.466562085,12314.388975610713,354.25477497392876,0.0,81.52697398558722,0.0,608.560137282546,1.5280758437029849,0.0011054489572287773,668382853.6805921
15,-668396213.9406352,12.4,1.002025183082222,1.0071081845913625,0.011637708766615518,0.00034227827163846314,0.1595824182855739,0.5528247179175303,0.30789507367203955,18.465745996158773,9983245791809.05,9820947787032.408,3460579068572.697,2340398018716.4155,615975061012.1996,337456076078.8449,7576341877944.108,5216387231392.043,39879586.99582011,35717661.466562085,12314.388975610713,354.25477497392876,0.0,81.52697398558722,0.0,608.560137282546,1.5280758437029849,0.0011054489572287773,668382853.6805921
16,-668396213.9406352,12.4,1.002025183082222,1.0071081845913625,0.011637708766615518,0.00034227827163846314,0.1595824182855739,0.5528247179175303,0.30789507367203955,18.465745996158773,9983245791809.05,9820947787032.408,3460579068572.697,2340398018716.4155,615975061012.1996,337456076078.8449,7576341877944.108,5216387231392.043,39879586.99582011,35717661.466562085,12314.388975610713,354.25477497392876,0.0,81.52697398558722,0.0,608.560137282546,1.5280758437029849,0.0011054489572287773,668382853.6805921
17,-668396213.9406352,12.4,1.002025183082222,1.0071081845913625,0.011637708766615518,0.00034227827163846314,0.1595824182855739,0.5528247179175303,0.30789507367203955,18.465745996158773,9983245791809.05,9820947787032.408,3460579068572.697,2340398018716.4155,615975061012.1996,337456076078.8449,7576341877944.108,5216387231392.043,39879586.99582011,35717661.466562085,12314.388975610713,354.25477497392876,0.0,81.52697398558722,0.0,608.560137282546,1.5280758437029849,0.0011054489572287773,668382853.6805921
18,-668396213.9406352,12.4,1.002025183082222,1.0071081845913625,0.011637708766615518,0.00034227827163846314,0.1595824182855739,0.5528247179175303,0.30789507367203955,18.465745996158773,9983245791809.05,9820947787032.408,3460579068572.697,2340398018716.4155,615975061012.1996,337456076078.8449,7576341877944.108,5216387231392.043,39879586.99582011,35717661.466562085,12314.388975610713,354.25477497392876,0.0,81.52697398558722,0.0,608.560137282546,1.5280758437029849,0.0011054489572287773,668382853.6805921
