Generation,Best_Fitness,Time_to_Target,Max_Theta1,Max_Theta2,Max_X_Deviation,Max_L_Deviation,Max_X_Acceleration,Max_L_Acceleration,Max_X_Jerk,Max_L_Jerk,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,R1,R2,Fitness_ISE_x,Fitness_ISE_l,Fitness_ISE_theta1,Fitness_ISE_theta2,Fitness_MSE_theta1,Fitness_MSE_theta2,Fitness_q_ddot1_value,Fitness_q_ddot3_value,Fitness_MSE_time
1,-41165631069.47104,19.85,0.812889257690529,0.8161046624426702,0.007488099524799674,0.000713030821776317,0.13175823376643403,0.3669432195806884,0.2552916749405828,11.978370531515289,9930541940702.492,7970311061104.3545,781710892004.2394,148668615238.3577,594367412729.3643,216228951864.5711,8923866466003.592,4555033799715.476,22892004.244789954,19271281.64849356,15183.123875616602,398.8654744104716,0.0,55.14590339412388,0.0,399.6160920363988,0.6732366319812064,0.0003827980888661078,41165615032.046074
2,-41165631069.47104,19.85,0.812889257690529,0.8161046624426702,0.007488099524799674,0.000713030821776317,0.13175823376643403,0.3669432195806884,0.2552916749405828,11.978370531515289,9930541940702.492,7970311061104.3545,781710892004.2394,148668615238.3577,594367412729.3643,216228951864.5711,8923866466003.592,4555033799715.476,22892004.244789954,19271281.64849356,15183.123875616602,398.8654744104716,0.0,55.14590339412388,0.0,399.6160920363988,0.6732366319812064,0.0003827980888661078,41165615032.046074
3,-35324702826.68039,19.45,0.8317339282973855,0.8348503937127524,0.0006401943631635376,0.0005290997257171304,0.13372997515067997,0.40690394350995635,0.2792048697483311,13.535290501175279,9930541940702.492,7970311061104.3545,781710892004.2394,148668615238.3577,594367412729.3643,216228951864.5711,8923866466003.592,8929416167513.19,21347517.757182557,16986402.59186604,14958.641010298847,379.1430171838329,0.0,60.04380190945922,0.0,418.18510792940265,0.8278540962197688,0.00044449513056553407,35324687009.83916
4,-35324702826.68039,19.45,0.8317339282973855,0.8348503937127524,0.0006401943631635376,0.0005290997257171304,0.13372997515067997,0.40690394350995635,0.2792048697483311,13.535290501175279,9930541940702.492,7970311061104.3545,781710892004.2394,148668615238.3577,594367412729.3643,216228951864.5711,8923866466003.592,8929416167513.19,21347517.757182557,16986402.59186604,14958.641010298847,379.1430171838329,0.0,60.04380190945922,0.0,418.18510792940265,0.8278540962197688,0.00044449513056553407,35324687009.83916
5,-35324702826.68039,19.45,0.8317339282973855,0.8348503937127524,0.0006401943631635376,0.0005290997257171304,0.13372997515067997,0.40690394350995635,0.2792048697483311,13.535290501175279,9930541940702.492,7970311061104.3545,781710892004.2394,148668615238.3577,594367412729.3643,216228951864.5711,8923866466003.592,8929416167513.19,21347517.757182557,16986402.59186604,14958.641010298847,379.1430171838329,0.0,60.04380190945922,0.0,418.18510792940265,0.8278540962197688,0.00044449513056553407,35324687009.83916
6,-35324702826.68039,19.45,0.8317339282973855,0.8348503937127524,0.0006401943631635376,0.0005290997257171304,0.13372997515067997,0.40690394350995635,0.2792048697483311,13.535290501175279,9930541940702.492,7970311061104.3545,781710892004.2394,148668615238.3577,594367412729.3643,216228951864.5711,8923866466003.592,8929416167513.19,21347517.757182557,16986402.59186604,14958.641010298847,379.1430171838329,0.0,60.04380190945922,0.0,418.18510792940265,0.8278540962197688,0.00044449513056553407,35324687009.83916
7,-35324702826.68039,19.45,0.8317339282973855,0.8348503937127524,0.0006401943631635376,0.0005290997257171304,0.13372997515067997,0.40690394350995635,0.2792048697483311,13.535290501175279,9930541940702.492,7970311061104.3545,781710892004.2394,148668615238.3577,594367412729.3643,216228951864.5711,8923866466003.592,8929416167513.19,21347517.757182557,16986402.59186604,14958.641010298847,379.1430171838329,0.0,60.04380190945922,0.0,418.18510792940265,0.8278540962197688,0.00044449513056553407,35324687009.83916
8,-35324702826.68039,19.45,0.8317339282973855,0.8348503937127524,0.0006401943631635376,0.0005290997257171304,0.13372997515067997,0.40690394350995635,0.2792048697483311,13.535290501175279,9930541940702.492,7970311061104.3545,781710892004.2394,148668615238.3577,594367412729.3643,216228951864.5711,8923866466003.592,8929416167513.19,21347517.757182557,16986402.59186604,14958.641010298847,379.1430171838329,0.0,60.04380190945922,0.0,418.18510792940265,0.8278540962197688,0.00044449513056553407,35324687009.83916
9,-35324702826.68039,19.45,0.8317339282973855,0.8348503937127524,0.0006401943631635376,0.0005290997257171304,0.13372997515067997,0.40690394350995635,0.2792048697483311,13.535290501175279,9930541940702.492,7970311061104.3545,781710892004.2394,148668615238.3577,594367412729.3643,216228951864.5711,8923866466003.592,8929416167513.19,21347517.757182557,16986402.59186604,14958.641010298847,379.1430171838329,0.0,60.04380190945922,0.0,418.18510792940265,0.8278540962197688,0.00044449513056553407,35324687009.83916
10,-985463682.9622291,12.870000000000001,0.6789517562739498,0.6815804792635403,0.0036061364499544446,0.0006559995154571396,0.11001499340921389,0.3770771184746886,0.16218170728945144,12.392564660122854,9930541940702.492,7970311061104.3545,781710892004.2394,148668615238.3577,594367412729.3643,216228951864.5711,8567513004703.929,3858489419246.5303,37131367.53505574,18607369.773507345,16723.88388896106,393.25225620406474,0.0,32.76631993402881,0.0,278.73116982787036,0.7109357663858717,0.00024922011006356685,985446253.6174092
