Generation,Best_Fitness,Time_to_Target,Max_Theta1,Max_Theta2,Max_X_Deviation,Max_L_Deviation,Max_X_Acceleration,Max_L_Acceleration,Max_X_Jerk,Max_L_Jerk,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,R1,R2,Fitness_ISE_x,Fitness_ISE_l,Fitness_ISE_theta1,Fitness_ISE_theta2,Fitness_MSE_theta1,Fitness_MSE_theta2,Fitness_q_ddot1_value,Fitness_q_ddot3_value,Fitness_MSE_time
1,-43715408855.673904,20.01,0.1155403183134671,0.1157542653677306,0.24781210435406797,0.5184376777427128,0.020138562524102854,0.03772541901147503,0.09015996314115017,1.8276026625369355,3152954982939.705,8364142709870.72,5273542092229.351,9532964427863.422,185836420140.7737,3275739015269.9116,4216778228598.309,8172255106021.494,48710395.37101586,55005823.453709245,47781.2427926756,2637.294935407752,0.0,1.461721861389562,0.0,8.039429970493797,0.007116036197956809,8.777190185063913e-05,43707695929.806854
2,-43715408855.673904,20.01,0.1155403183134671,0.1157542653677306,0.24781210435406797,0.5184376777427128,0.020138562524102854,0.03772541901147503,0.09015996314115017,1.8276026625369355,3152954982939.705,8364142709870.72,5273542092229.351,9532964427863.422,185836420140.7737,3275739015269.9116,4216778228598.309,8172255106021.494,48710395.37101586,55005823.453709245,47781.2427926756,2637.294935407752,0.0,1.461721861389562,0.0,8.039429970493797,0.007116036197956809,8.777190185063913e-05,43707695929.806854
3,-43714094591.03504,20.01,0.13250512407768666,0.1328154087520424,0.22416114329702053,0.41080906984025156,0.0231158040176337,0.024322643551824896,0.07078648197021967,1.1970428279882792,3152954982939.705,4762825325584.322,3278817176319.5005,4400732137805.28,251900902704.928,821474449300.6965,7612043826189.088,5801691912875.924,30718436.51726437,50658186.84219335,46689.04018933332,2257.5893110198876,0.0,1.8803834889523503,0.0,10.583959681183261,0.002957954946745646,1.460059912212335e-05,43707695929.806854
4,-43711692580.16595,20.01,0.14353031932155458,0.1436703490103371,0.15611655546496328,0.23887564107413517,0.025087161241406197,0.04271328678476373,0.06603443869552128,2.1021297170451683,3238401681330.87,8364142709870.72,9668724889291.86,4400732137805.28,251900902704.928,821474449300.6965,9974565944833.7,5801691912875.924,30718436.51726437,50658186.84219335,45117.45145694871,1596.3747793754915,0.0,2.1736130523074406,0.0,12.384701510851242,0.009122124339787359,2.5067228293197483e-05,43707695929.806854
5,-43711692580.16595,20.01,0.14353031932155458,0.1436703490103371,0.15611655546496328,0.23887564107413517,0.025087161241406197,0.04271328678476373,0.06603443869552128,2.1021297170451683,3238401681330.87,8364142709870.72,9668724889291.86,4400732137805.28,251900902704.928,821474449300.6965,9974565944833.7,5801691912875.924,30718436.51726437,50658186.84219335,45117.45145694871,1596.3747793754915,0.0,2.1736130523074406,0.0,12.384701510851242,0.009122124339787359,2.5067228293197483e-05,43707695929.806854
6,-43711692580.16595,20.01,0.14353031932155458,0.1436703490103371,0.15611655546496328,0.23887564107413517,0.025087161241406197,0.04271328678476373,0.06603443869552128,2.1021297170451683,3238401681330.87,8364142709870.72,9668724889291.86,4400732137805.28,251900902704.928,821474449300.6965,9974565944833.7,5801691912875.924,30718436.51726437,50658186.84219335,45117.45145694871,1596.3747793754915,0.0,2.1736130523074406,0.0,12.384701510851242,0.009122124339787359,2.5067228293197483e-05,43707695929.806854
7,-43711692580.16595,20.01,0.14353031932155458,0.1436703490103371,0.15611655546496328,0.23887564107413517,0.025087161241406197,0.04271328678476373,0.06603443869552128,2.1021297170451683,3238401681330.87,8364142709870.72,9668724889291.86,4400732137805.28,251900902704.928,821474449300.6965,9974565944833.7,5801691912875.924,30718436.51726437,50658186.84219335,45117.45145694871,1596.3747793754915,0.0,2.1736130523074406,0.0,12.384701510851242,0.009122124339787359,2.5067228293197483e-05,43707695929.806854
8,-43710102401.1261,20.01,0.16042895255647752,0.16080257443237875,0.0966717791764784,0.1396472098401338,0.02752326441587693,0.12753856364249022,0.05715680847516221,6.199296405022314,3238401681330.87,8364142709870.72,9668724889291.86,4400732137805.28,251900902704.928,821474449300.6965,9060840225260.916,5801691912875.924,30718436.51726437,16416220.445555069,42110.36416516771,1152.9713591903012,0.0,2.497725600055344,0.0,15.514480766448425,0.08133042607994764,1.4537253727804007e-05,43707695929.806854
9,-43710102401.1261,20.01,0.16042895255647752,0.16080257443237875,0.0966717791764784,0.1396472098401338,0.02752326441587693,0.12753856364249022,0.05715680847516221,6.199296405022314,3238401681330.87,8364142709870.72,9668724889291.86,4400732137805.28,251900902704.928,821474449300.6965,9060840225260.916,5801691912875.924,30718436.51726437,16416220.445555069,42110.36416516771,1152.9713591903012,0.0,2.497725600055344,0.0,15.514480766448425,0.08133042607994764,1.4537253727804007e-05,43707695929.806854
10,-43710102401.1261,20.01,0.16042895255647752,0.16080257443237875,0.0966717791764784,0.1396472098401338,0.02752326441587693,0.12753856364249022,0.05715680847516221,6.199296405022314,3238401681330.87,8364142709870.72,9668724889291.86,4400732137805.28,251900902704.928,821474449300.6965,9060840225260.916,5801691912875.924,30718436.51726437,16416220.445555069,42110.36416516771,1152.9713591903012,0.0,2.497725600055344,0.0,15.514480766448425,0.08133042607994764,1.4537253727804007e-05,43707695929.806854
11,-43710102401.1261,20.01,0.16042895255647752,0.16080257443237875,0.0966717791764784,0.1396472098401338,0.02752326441587693,0.12753856364249022,0.05715680847516221,6.199296405022314,3238401681330.87,8364142709870.72,9668724889291.86,4400732137805.28,251900902704.928,821474449300.6965,9060840225260.916,5801691912875.924,30718436.51726437,16416220.445555069,42110.36416516771,1152.9713591903012,0.0,2.497725600055344,0.0,15.514480766448425,0.08133042607994764,1.4537253727804007e-05,43707695929.806854
12,-43709876885.81052,20.01,0.15799935150650096,0.158379391341173,0.10565055376683552,0.10809308510148996,0.02707011940073125,0.1456447557798999,0.052281039982536144,7.079350422452933,3238401681330.87,9551666214783.94,8983399579054.85,7293387318324.238,251900902704.928,821474449300.6965,9974565944833.7,5801691912875.924,31828910.486850195,16416220.445555069,42474.217293274916,1027.8256460953714,0.0,2.4155508492125373,0.0,15.050418960960252,0.10606197443093345,9.151858426068687e-06,43707695929.806854
13,-43709876885.81052,20.01,0.15799935150650096,0.158379391341173,0.10565055376683552,0.10809308510148996,0.02707011940073125,0.1456447557798999,0.052281039982536144,7.079350422452933,3238401681330.87,9551666214783.94,8983399579054.85,7293387318324.238,251900902704.928,821474449300.6965,9974565944833.7,5801691912875.924,31828910.486850195,16416220.445555069,42474.217293274916,1027.8256460953714,0.0,2.4155508492125373,0.0,15.050418960960252,0.10606197443093345,9.151858426068687e-06,43707695929.806854
14,-43709567841.61358,20.01,0.17273791164879815,0.1731882427857724,0.07498412509648289,0.10809308558137709,0.029468455986507186,0.14564475577988228,0.05446461998663797,7.079350422452313,3238401681330.87,9551666214783.94,9668724889291.86,1509816829154.1914,251900902704.928,821474449300.6965,6871330226582.024,6221888823051.725,30718436.51726437,16416220.445555069,40091.091152415705,1027.8256042958226,0.0,2.6806104679329548,0.0,17.99650046353419,0.10606197443090777,1.3791800360574103e-05,43707695929.806854
15,-43709567841.61358,20.01,0.17273791164879815,0.1731882427857724,0.07498412509648289,0.10809308558137709,0.029468455986507186,0.14564475577988228,0.05446461998663797,7.079350422452313,3238401681330.87,9551666214783.94,9668724889291.86,1509816829154.1914,251900902704.928,821474449300.6965,6871330226582.024,6221888823051.725,30718436.51726437,16416220.445555069,40091.091152415705,1027.8256042958226,0.0,2.6806104679329548,0.0,17.99650046353419,0.10606197443090777,1.3791800360574103e-05,43707695929.806854
16,-43709567841.61358,20.01,0.17273791164879815,0.1731882427857724,0.07498412509648289,0.10809308558137709,0.029468455986507186,0.14564475577988228,0.05446461998663797,7.079350422452313,3238401681330.87,9551666214783.94,9668724889291.86,1509816829154.1914,251900902704.928,821474449300.6965,6871330226582.024,6221888823051.725,30718436.51726437,16416220.445555069,40091.091152415705,1027.8256042958226,0.0,2.6806104679329548,0.0,17.99650046353419,0.10606197443090777,1.3791800360574103e-05,43707695929.806854
17,-43709567841.61358,20.01,0.17273791164879815,0.1731882427857724,0.07498412509648289,0.10809308558137709,0.029468455986507186,0.14564475577988228,0.05446461998663797,7.079350422452313,3238401681330.87,9551666214783.94,9668724889291.86,1509816829154.1914,251900902704.928,821474449300.6965,6871330226582.024,6221888823051.725,30718436.51726437,16416220.445555069,40091.091152415705,1027.8256042958226,0.0,2.6806104679329548,0.0,17.99650046353419,0.10606197443090777,1.3791800360574103e-05,43707695929.806854
18,-43709567841.61358,20.01,0.17273791164879815,0.1731882427857724,0.07498412509648289,0.10809308558137709,0.029468455986507186,0.14564475577988228,0.05446461998663797,7.079350422452313,3238401681330.87,9551666214783.94,9668724889291.86,1509816829154.1914,251900902704.928,821474449300.6965,6871330226582.024,6221888823051.725,30718436.51726437,16416220.445555069,40091.091152415705,1027.8256042958226,0.0,2.6806104679329548,0.0,17.99650046353419,0.10606197443090777,1.3791800360574103e-05,43707695929.806854
19,-43709567841.61358,20.01,0.17273791164879815,0.1731882427857724,0.07498412509648289,0.10809308558137709,0.029468455986507186,0.14564475577988228,0.05446461998663797,7.079350422452313,3238401681330.87,9551666214783.94,9668724889291.86,1509816829154.1914,251900902704.928,821474449300.6965,6871330226582.024,6221888823051.725,30718436.51726437,16416220.445555069,40091.091152415705,1027.8256042958226,0.0,2.6806104679329548,0.0,17.99650046353419,0.10606197443090777,1.3791800360574103e-05,43707695929.806854
20,-43708887179.73468,20.01,0.19686666444949688,0.19721367285405383,0.04825348880169367,0.06719927365792311,0.03284196318613526,1.6435918252886295,0.03763306177598444,64.42006978596783,3238401681330.87,9551666214783.94,1437995942706.9878,1509816829154.1914,251900902704.928,821474449300.6965,2193341372505.523,9875554430754.588,30718436.51726437,791476.4261865985,35891.82963926354,790.6736856438365,0.0,2.956979820427433,0.0,23.33593965635146,13.506970440778044,1.8083223445702306e-05,43707695929.806854
21,-43708887179.73468,20.01,0.19686666444949688,0.19721367285405383,0.04825348880169367,0.06719927365792311,0.03284196318613526,1.6435918252886295,0.03763306177598444,64.42006978596783,3238401681330.87,9551666214783.94,1437995942706.9878,1509816829154.1914,251900902704.928,821474449300.6965,2193341372505.523,9875554430754.588,30718436.51726437,791476.4261865985,35891.82963926354,790.6736856438365,0.0,2.956979820427433,0.0,23.33593965635146,13.506970440778044,1.8083223445702306e-05,43707695929.806854
22,-43708887179.73468,20.01,0.19686666444949688,0.19721367285405383,0.04825348880169367,0.06719927365792311,0.03284196318613526,1.6435918252886295,0.03763306177598444,64.42006978596783,3238401681330.87,9551666214783.94,1437995942706.9878,1509816829154.1914,251900902704.928,821474449300.6965,2193341372505.523,9875554430754.588,30718436.51726437,791476.4261865985,35891.82963926354,790.6736856438365,0.0,2.956979820427433,0.0,23.33593965635146,13.506970440778044,1.8083223445702306e-05,43707695929.806854
23,-43708887179.73468,20.01,0.19686666444949688,0.19721367285405383,0.04825348880169367,0.06719927365792311,0.03284196318613526,1.6435918252886295,0.03763306177598444,64.42006978596783,3238401681330.87,9551666214783.94,1437995942706.9878,1509816829154.1914,251900902704.928,821474449300.6965,2193341372505.523,9875554430754.588,30718436.51726437,791476.4261865985,35891.82963926354,790.6736856438365,0.0,2.956979820427433,0.0,23.33593965635146,13.506970440778044,1.8083223445702306e-05,43707695929.806854
24,-43708887179.73468,20.01,0.19686666444949688,0.19721367285405383,0.04825348880169367,0.06719927365792311,0.03284196318613526,1.6435918252886295,0.03763306177598444,64.42006978596783,3238401681330.87,9551666214783.94,1437995942706.9878,1509816829154.1914,251900902704.928,821474449300.6965,2193341372505.523,9875554430754.588,30718436.51726437,791476.4261865985,35891.82963926354,790.6736856438365,0.0,2.956979820427433,0.0,23.33593965635146,13.506970440778044,1.8083223445702306e-05,43707695929.806854
