Generation,Best_Fitness,Time_to_Target,Max_Theta1,Max_Theta2,Max_X_Deviation,Max_L_Deviation,Max_X_Acceleration,Max_L_Acceleration,Max_X_Jerk,Max_L_Jerk,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,R1,R2,Fitness_ISE_x,Fitness_ISE_l,Fitness_ISE_theta1,Fitness_ISE_theta2,Fitness_MSE_theta1,Fitness_MSE_theta2,Fitness_q_ddot1_value,Fitness_q_ddot3_value,Fitness_MSE_time
1,-5534.346536314044,7.57,2.2292996369367395,2.2674189509595624,1.1569989410986636e-10,1.6608892039471357e-10,0.4517804108247869,6.082267945431368,10.07187606090206,303.83871381499057,1203477655193.6843,93761212683.20781,7621621518682.484,9505481231958.088,371681605402.02124,66258901647.76004,150771407171.46173,31993607717.97731,30672.331165049243,90687539.01319647,1757.001462988412,257.3274790830527,0.0,250.31096422671897,0.0,3084.7132195023373,184.96991680010956,0.023493713413605358,0
2,-5534.346536314044,7.57,2.2292996369367395,2.2674189509595624,1.1569989410986636e-10,1.6608892039471357e-10,0.4517804108247869,6.082267945431368,10.07187606090206,303.83871381499057,1203477655193.6843,93761212683.20781,7621621518682.484,9505481231958.088,371681605402.02124,66258901647.76004,150771407171.46173,31993607717.97731,30672.331165049243,90687539.01319647,1757.001462988412,257.3274790830527,0.0,250.31096422671897,0.0,3084.7132195023373,184.96991680010956,0.023493713413605358,0
3,-5534.346536314044,7.57,2.2292996369367395,2.2674189509595624,1.1569989410986636e-10,1.6608892039471357e-10,0.4517804108247869,6.082267945431368,10.07187606090206,303.83871381499057,1203477655193.6843,93761212683.20781,7621621518682.484,9505481231958.088,371681605402.02124,66258901647.76004,150771407171.46173,31993607717.97731,30672.331165049243,90687539.01319647,1757.001462988412,257.3274790830527,0.0,250.31096422671897,0.0,3084.7132195023373,184.96991680010956,0.023493713413605358,0
4,-5534.346536314044,7.57,2.2292996369367395,2.2674189509595624,1.1569989410986636e-10,1.6608892039471357e-10,0.4517804108247869,6.082267945431368,10.07187606090206,303.83871381499057,1203477655193.6843,93761212683.20781,7621621518682.484,9505481231958.088,371681605402.02124,66258901647.76004,150771407171.46173,31993607717.97731,30672.331165049243,90687539.01319647,1757.001462988412,257.3274790830527,0.0,250.31096422671897,0.0,3084.7132195023373,184.96991680010956,0.023493713413605358,0
5,-5534.346536314044,7.57,2.2292996369367395,2.2674189509595624,1.1569989410986636e-10,1.6608892039471357e-10,0.4517804108247869,6.082267945431368,10.07187606090206,303.83871381499057,1203477655193.6843,93761212683.20781,7621621518682.484,9505481231958.088,371681605402.02124,66258901647.76004,150771407171.46173,31993607717.97731,30672.331165049243,90687539.01319647,1757.001462988412,257.3274790830527,0.0,250.31096422671897,0.0,3084.7132195023373,184.96991680010956,0.023493713413605358,0
6,-5534.346536314044,7.57,2.2292996369367395,2.2674189509595624,1.1569989410986636e-10,1.6608892039471357e-10,0.4517804108247869,6.082267945431368,10.07187606090206,303.83871381499057,1203477655193.6843,93761212683.20781,7621621518682.484,9505481231958.088,371681605402.02124,66258901647.76004,150771407171.46173,31993607717.97731,30672.331165049243,90687539.01319647,1757.001462988412,257.3274790830527,0.0,250.31096422671897,0.0,3084.7132195023373,184.96991680010956,0.023493713413605358,0
7,-5534.346536314044,7.57,2.2292996369367395,2.2674189509595624,1.1569989410986636e-10,1.6608892039471357e-10,0.4517804108247869,6.082267945431368,10.07187606090206,303.83871381499057,1203477655193.6843,93761212683.20781,7621621518682.484,9505481231958.088,371681605402.02124,66258901647.76004,150771407171.46173,31993607717.97731,30672.331165049243,90687539.01319647,1757.001462988412,257.3274790830527,0.0,250.31096422671897,0.0,3084.7132195023373,184.96991680010956,0.023493713413605358,0
8,-5534.346536314044,7.57,2.2292996369367395,2.2674189509595624,1.1569989410986636e-10,1.6608892039471357e-10,0.4517804108247869,6.082267945431368,10.07187606090206,303.83871381499057,1203477655193.6843,93761212683.20781,7621621518682.484,9505481231958.088,371681605402.02124,66258901647.76004,150771407171.46173,31993607717.97731,30672.331165049243,90687539.01319647,1757.001462988412,257.3274790830527,0.0,250.31096422671897,0.0,3084.7132195023373,184.96991680010956,0.023493713413605358,0
9,-5534.346536314044,7.57,2.2292996369367395,2.2674189509595624,1.1569989410986636e-10,1.6608892039471357e-10,0.4517804108247869,6.082267945431368,10.07187606090206,303.83871381499057,1203477655193.6843,93761212683.20781,7621621518682.484,9505481231958.088,371681605402.02124,66258901647.76004,150771407171.46173,31993607717.97731,30672.331165049243,90687539.01319647,1757.001462988412,257.3274790830527,0.0,250.31096422671897,0.0,3084.7132195023373,184.96991680010956,0.023493713413605358,0
10,-5534.346536314044,7.57,2.2292996369367395,2.2674189509595624,1.1569989410986636e-10,1.6608892039471357e-10,0.4517804108247869,6.082267945431368,10.07187606090206,303.83871381499057,1203477655193.6843,93761212683.20781,7621621518682.484,9505481231958.088,371681605402.02124,66258901647.76004,150771407171.46173,31993607717.97731,30672.331165049243,90687539.01319647,1757.001462988412,257.3274790830527,0.0,250.31096422671897,0.0,3084.7132195023373,184.96991680010956,0.023493713413605358,0
