Generation,Best_Fitness,Time_to_Target,Max_Theta1,Max_Theta2,Max_X_Deviation,Max_L_Deviation,Max_X_Acceleration,Max_L_Acceleration,Max_X_Jerk,Max_L_Jerk,Current_Mutation_Rate,Current_Exploration_Factor,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,R1,R2,Fitness_ISE_x,Fitness_ISE_l,Fitness_ISE_theta1,Fitness_ISE_theta2,Fitness_MSE_theta1,Fitness_MSE_theta2,Fitness_q_ddot1_value,Fitness_q_ddot3_value,Fitness_MSE_time
11,-32116.910115052586,7.3100000000000005,2.3799931301584416,2.4239118303783,5.58803190431334e-06,5.134053493449642e-08,0.41192309166564,1.7097421763682372,5.121292465882471,82.57272211563287,0.65,1.0,190092664.8557564,607587405.1250216,794890441.3831373,152508610.79053083,23970591.51723903,350432616.43785554,534485005.9191473,543107359.6987048,32.59631044724812,13973569.425158113,2560.8307278485518,179.33657996463327,0,0,0,29376.7428072394,0,0,0
12,-32116.910115052586,7.3100000000000005,2.3799931301584416,2.4239118303783,5.58803190431334e-06,5.134053493449642e-08,0.41192309166564,1.7097421763682372,5.121292465882471,82.57272211563287,0.8,1.0,190092664.8557564,607587405.1250216,794890441.3831373,152508610.79053083,23970591.51723903,350432616.43785554,534485005.9191473,543107359.6987048,32.59631044724812,13973569.425158113,2560.8307278485518,179.33657996463327,0,0,0,29376.7428072394,0,0,0
13,-32116.910115052586,7.3100000000000005,2.3799931301584416,2.4239118303783,5.58803190431334e-06,5.134053493449642e-08,0.41192309166564,1.7097421763682372,5.121292465882471,82.57272211563287,0.8,1.0,190092664.8557564,607587405.1250216,794890441.3831373,152508610.79053083,23970591.51723903,350432616.43785554,534485005.9191473,543107359.6987048,32.59631044724812,13973569.425158113,2560.8307278485518,179.33657996463327,0,0,0,29376.7428072394,0,0,0
14,-32116.910115052586,7.3100000000000005,2.3799931301584416,2.4239118303783,5.58803190431334e-06,5.134053493449642e-08,0.41192309166564,1.7097421763682372,5.121292465882471,82.57272211563287,0.8,1.0,190092664.8557564,607587405.1250216,794890441.3831373,152508610.79053083,23970591.51723903,350432616.43785554,534485005.9191473,543107359.6987048,32.59631044724812,13973569.425158113,2560.8307278485518,179.33657996463327,0,0,0,29376.7428072394,0,0,0
15,-32116.910115052586,7.3100000000000005,2.3799931301584416,2.4239118303783,5.58803190431334e-06,5.134053493449642e-08,0.41192309166564,1.7097421763682372,5.121292465882471,82.57272211563287,0.8,1.0,190092664.8557564,607587405.1250216,794890441.3831373,152508610.79053083,23970591.51723903,350432616.43785554,534485005.9191473,543107359.6987048,32.59631044724812,13973569.425158113,2560.8307278485518,179.33657996463327,0,0,0,29376.7428072394,0,0,0
16,-32116.910115052586,7.3100000000000005,2.3799931301584416,2.4239118303783,5.58803190431334e-06,5.134053493449642e-08,0.41192309166564,1.7097421763682372,5.121292465882471,82.57272211563287,0.8,1.0,190092664.8557564,607587405.1250216,794890441.3831373,152508610.79053083,23970591.51723903,350432616.43785554,534485005.9191473,543107359.6987048,32.59631044724812,13973569.425158113,2560.8307278485518,179.33657996463327,0,0,0,29376.7428072394,0,0,0
17,-32116.910115052586,7.3100000000000005,2.3799931301584416,2.4239118303783,5.58803190431334e-06,5.134053493449642e-08,0.41192309166564,1.7097421763682372,5.121292465882471,82.57272211563287,0.8,1.0,190092664.8557564,607587405.1250216,794890441.3831373,152508610.79053083,23970591.51723903,350432616.43785554,534485005.9191473,543107359.6987048,32.59631044724812,13973569.425158113,2560.8307278485518,179.33657996463327,0,0,0,29376.7428072394,0,0,0
18,-32116.910115052586,7.3100000000000005,2.3799931301584416,2.4239118303783,5.58803190431334e-06,5.134053493449642e-08,0.41192309166564,1.7097421763682372,5.121292465882471,82.57272211563287,0.8,1.0,190092664.8557564,607587405.1250216,794890441.3831373,152508610.79053083,23970591.51723903,350432616.43785554,534485005.9191473,543107359.6987048,32.59631044724812,13973569.425158113,2560.8307278485518,179.33657996463327,0,0,0,29376.7428072394,0,0,0
19,-32116.910115052586,7.3100000000000005,2.3799931301584416,2.4239118303783,5.58803190431334e-06,5.134053493449642e-08,0.41192309166564,1.7097421763682372,5.121292465882471,82.57272211563287,0.8,1.0,190092664.8557564,607587405.1250216,794890441.3831373,152508610.79053083,23970591.51723903,350432616.43785554,534485005.9191473,543107359.6987048,32.59631044724812,13973569.425158113,2560.8307278485518,179.33657996463327,0,0,0,29376.7428072394,0,0,0
20,-32116.910115052586,7.3100000000000005,2.3799931301584416,2.4239118303783,5.58803190431334e-06,5.134053493449642e-08,0.41192309166564,1.7097421763682372,5.121292465882471,82.57272211563287,0.8,1.0,190092664.8557564,607587405.1250216,794890441.3831373,152508610.79053083,23970591.51723903,350432616.43785554,534485005.9191473,543107359.6987048,32.59631044724812,13973569.425158113,2560.8307278485518,179.33657996463327,0,0,0,29376.7428072394,0,0,0
21,-32116.910115052586,7.3100000000000005,2.3799931301584416,2.4239118303783,5.58803190431334e-06,5.134053493449642e-08,0.41192309166564,1.7097421763682372,5.121292465882471,82.57272211563287,0.8,1.0,190092664.8557564,607587405.1250216,794890441.3831373,152508610.79053083,23970591.51723903,350432616.43785554,534485005.9191473,543107359.6987048,32.59631044724812,13973569.425158113,2560.8307278485518,179.33657996463327,0,0,0,29376.7428072394,0,0,0
22,-32116.910115052586,7.3100000000000005,2.3799931301584416,2.4239118303783,5.58803190431334e-06,5.134053493449642e-08,0.41192309166564,1.7097421763682372,5.121292465882471,82.57272211563287,0.8,1.0,190092664.8557564,607587405.1250216,794890441.3831373,152508610.79053083,23970591.51723903,350432616.43785554,534485005.9191473,543107359.6987048,32.59631044724812,13973569.425158113,2560.8307278485518,179.33657996463327,0,0,0,29376.7428072394,0,0,0
23,-32116.910115052586,7.3100000000000005,2.3799931301584416,2.4239118303783,5.58803190431334e-06,5.134053493449642e-08,0.41192309166564,1.7097421763682372,5.121292465882471,82.57272211563287,0.8,1.0,190092664.8557564,607587405.1250216,794890441.3831373,152508610.79053083,23970591.51723903,350432616.43785554,534485005.9191473,543107359.6987048,32.59631044724812,13973569.425158113,2560.8307278485518,179.33657996463327,0,0,0,29376.7428072394,0,0,0
24,-32116.910115052586,7.3100000000000005,2.3799931301584416,2.4239118303783,5.58803190431334e-06,5.134053493449642e-08,0.41192309166564,1.7097421763682372,5.121292465882471,82.57272211563287,0.8,1.0,190092664.8557564,607587405.1250216,794890441.3831373,152508610.79053083,23970591.51723903,350432616.43785554,534485005.9191473,543107359.6987048,32.59631044724812,13973569.425158113,2560.8307278485518,179.33657996463327,0,0,0,29376.7428072394,0,0,0
25,-32116.910115052586,7.3100000000000005,2.3799931301584416,2.4239118303783,5.58803190431334e-06,5.134053493449642e-08,0.41192309166564,1.7097421763682372,5.121292465882471,82.57272211563287,0.8,1.0,190092664.8557564,607587405.1250216,794890441.3831373,152508610.79053083,23970591.51723903,350432616.43785554,534485005.9191473,543107359.6987048,32.59631044724812,13973569.425158113,2560.8307278485518,179.33657996463327,0,0,0,29376.7428072394,0,0,0
26,-32116.910115052586,7.3100000000000005,2.3799931301584416,2.4239118303783,5.58803190431334e-06,5.134053493449642e-08,0.41192309166564,1.7097421763682372,5.121292465882471,82.57272211563287,0.8,1.0,190092664.8557564,607587405.1250216,794890441.3831373,152508610.79053083,23970591.51723903,350432616.43785554,534485005.9191473,543107359.6987048,32.59631044724812,13973569.425158113,2560.8307278485518,179.33657996463327,0,0,0,29376.7428072394,0,0,0
27,-25298.545419564136,7.59,2.0674200685403994,2.1082684005283094,1.3331696236518198e-05,1.895971646348471e-08,0.30094926198141286,1.6668695159530684,0.36487865801442687,80.63582402310911,0.5,1.0,930965961.7518798,773701955.8288647,843613224.9617718,516488942.42147666,60997200.361140735,301792197.2293265,820162742.8363407,538683037.7828377,2837335.0293889847,18752023.833667345,2897.2397286633595,177.32744756979716,0,0,0,22223.97824333098,0,0,0
28,-25298.545419564136,7.59,2.0674200685403994,2.1082684005283094,1.3331696236518198e-05,1.895971646348471e-08,0.30094926198141286,1.6668695159530684,0.36487865801442687,80.63582402310911,0.5,1.0,930965961.7518798,773701955.8288647,843613224.9617718,516488942.42147666,60997200.361140735,301792197.2293265,820162742.8363407,538683037.7828377,2837335.0293889847,18752023.833667345,2897.2397286633595,177.32744756979716,0,0,0,22223.97824333098,0,0,0
