Generation,Best_Fitness,Time_to_Target,Max_Theta1,Max_Theta2,Max_X_Deviation,Max_L_Deviation,Max_X_Acceleration,Max_L_Acceleration,Max_X_Jerk,Max_L_Jerk,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,R1,R2,Fitness_ISE_x,Fitness_ISE_l,Fitness_ISE_theta1,Fitness_ISE_theta2,Fitness_MSE_theta1,Fitness_MSE_theta2,Fitness_q_ddot1_value,Fitness_q_ddot3_value,Fitness_MSE_time
1,-37431630325.8623,19.6,0.2537555359022396,0.254335877166782,0.015069122574761895,9.658653421285024e-06,0.0415434393614219,0.26032308599648574,0.04325356557046203,8.873150663161233,8817260331102.658,919605778742.8137,5206984754256.916,6836933932785.544,556496486128.8214,5989160796.123872,8562552926567.753,8339376099904.203,26448104.961293466,546457.3293643022,31648.826579788758,368.07602796770215,0.0,4.575628077568742,0.0,38.81204304851786,0.3388405455136685,2.4781796215666802e-05,37431598265.233154
2,-37431630325.8623,19.6,0.2537555359022396,0.254335877166782,0.015069122574761895,9.658653421285024e-06,0.0415434393614219,0.26032308599648574,0.04325356557046203,8.873150663161233,8817260331102.658,919605778742.8137,5206984754256.916,6836933932785.544,556496486128.8214,5989160796.123872,8562552926567.753,8339376099904.203,26448104.961293466,546457.3293643022,31648.826579788758,368.07602796770215,0.0,4.575628077568742,0.0,38.81204304851786,0.3388405455136685,2.4781796215666802e-05,37431598265.233154
3,-37431630325.8623,19.6,0.2537555359022396,0.254335877166782,0.015069122574761895,9.658653421285024e-06,0.0415434393614219,0.26032308599648574,0.04325356557046203,8.873150663161233,8817260331102.658,919605778742.8137,5206984754256.916,6836933932785.544,556496486128.8214,5989160796.123872,8562552926567.753,8339376099904.203,26448104.961293466,546457.3293643022,31648.826579788758,368.07602796770215,0.0,4.575628077568742,0.0,38.81204304851786,0.3388405455136685,2.4781796215666802e-05,37431598265.233154
4,-37431630325.8623,19.6,0.2537555359022396,0.254335877166782,0.015069122574761895,9.658653421285024e-06,0.0415434393614219,0.26032308599648574,0.04325356557046203,8.873150663161233,8817260331102.658,919605778742.8137,5206984754256.916,6836933932785.544,556496486128.8214,5989160796.123872,8562552926567.753,8339376099904.203,26448104.961293466,546457.3293643022,31648.826579788758,368.07602796770215,0.0,4.575628077568742,0.0,38.81204304851786,0.3388405455136685,2.4781796215666802e-05,37431598265.233154
5,-37431630325.8623,19.6,0.2537555359022396,0.254335877166782,0.015069122574761895,9.658653421285024e-06,0.0415434393614219,0.26032308599648574,0.04325356557046203,8.873150663161233,8817260331102.658,919605778742.8137,5206984754256.916,6836933932785.544,556496486128.8214,5989160796.123872,8562552926567.753,8339376099904.203,26448104.961293466,546457.3293643022,31648.826579788758,368.07602796770215,0.0,4.575628077568742,0.0,38.81204304851786,0.3388405455136685,2.4781796215666802e-05,37431598265.233154
6,-37431630325.8623,19.6,0.2537555359022396,0.254335877166782,0.015069122574761895,9.658653421285024e-06,0.0415434393614219,0.26032308599648574,0.04325356557046203,8.873150663161233,8817260331102.658,919605778742.8137,5206984754256.916,6836933932785.544,556496486128.8214,5989160796.123872,8562552926567.753,8339376099904.203,26448104.961293466,546457.3293643022,31648.826579788758,368.07602796770215,0.0,4.575628077568742,0.0,38.81204304851786,0.3388405455136685,2.4781796215666802e-05,37431598265.233154
7,-37431630325.8623,19.6,0.2537555359022396,0.254335877166782,0.015069122574761895,9.658653421285024e-06,0.0415434393614219,0.26032308599648574,0.04325356557046203,8.873150663161233,8817260331102.658,919605778742.8137,5206984754256.916,6836933932785.544,556496486128.8214,5989160796.123872,8562552926567.753,8339376099904.203,26448104.961293466,546457.3293643022,31648.826579788758,368.07602796770215,0.0,4.575628077568742,0.0,38.81204304851786,0.3388405455136685,2.4781796215666802e-05,37431598265.233154
8,-37431630314.40124,19.6,0.2537423349975015,0.25431635363309424,0.0146842580391211,9.658604188444997e-06,0.0415298982582661,0.26032308599686543,0.04306947430789444,8.87315066316105,8817260331102.658,919605778742.8137,5206984754256.916,6836933932785.544,556496486128.8214,5989160796.123872,8562552926567.753,870541154579.3108,26448104.961293466,546457.3293643022,31637.377128750475,368.07602748362103,0.0,4.569974000898541,0.0,38.806084635139825,0.338840545514657,2.4818902379562463e-05,37431598265.233154
9,-37431630314.40124,19.6,0.2537423349975015,0.25431635363309424,0.0146842580391211,9.658604188444997e-06,0.0415298982582661,0.26032308599686543,0.04306947430789444,8.87315066316105,8817260331102.658,919605778742.8137,5206984754256.916,6836933932785.544,556496486128.8214,5989160796.123872,8562552926567.753,870541154579.3108,26448104.961293466,546457.3293643022,31637.377128750475,368.07602748362103,0.0,4.569974000898541,0.0,38.806084635139825,0.338840545514657,2.4818902379562463e-05,37431598265.233154
10,-37431630314.40124,19.6,0.2537423349975015,0.25431635363309424,0.0146842580391211,9.658604188444997e-06,0.0415298982582661,0.26032308599686543,0.04306947430789444,8.87315066316105,8817260331102.658,919605778742.8137,5206984754256.916,6836933932785.544,556496486128.8214,5989160796.123872,8562552926567.753,870541154579.3108,26448104.961293466,546457.3293643022,31637.377128750475,368.07602748362103,0.0,4.569974000898541,0.0,38.806084635139825,0.338840545514657,2.4818902379562463e-05,37431598265.233154
