Thu Apr 10 20:13:38 2025    output.prof

         354115 function calls (353583 primitive calls) in 0.266 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\core\shape_base.py:23(atleast_1d)                                                                   <-    2114    0.002    0.003  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\core\shape_base.py:292(hstack)
C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\scanner.py:668(fetch_plain)                                                                          <-     205    0.000    0.003  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\scanner.py:156(fetch_more_tokens)
{built-in method numpy.array}                                                                                                                                    <-     456    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\control\statesp.py:2141(_ssmatrix)
                                                                                                                                                                        228    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\lib\index_tricks.py:326(__getitem__)
                                                                                                                                                                          3    0.000    0.000  C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\controllers\LQR_controller.py:89(reset)
                                                                                                                                                                       2000    0.002    0.002  C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\controllers\LQR_controller.py:266(compute_desired_state)
                                                                                                                                                                       2000    0.001    0.001  C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\controllers\LQR_controller.py:284(calculate_feedforward)
                                                                                                                                                                          1    0.000    0.000  C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\core\model.py:64(get_initial_state)
                                                                                                                                                                         76    0.000    0.000  C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\utils\lqr_handler.py:30(_compute_gain_cached)
C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\core\model.py:109(check_constraints)                                 <-    2000    0.003    0.003  C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\simulation\simulator.py:137(_run_simulation)
C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\scipy\linalg\_solvers.py:753(_are_validate_args)                                                          <-      38    0.001    0.003  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\scipy\linalg\_solvers.py:544(solve_discrete_are)
{method 'items' of 'dict' objects}                                                                                                                               <-       1    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\core\arrayprint.py:64(_make_options_dict)
                                                                                                                                                                      28233    0.003    0.003  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\core\fromnumeric.py:71(_wrapreduction)
C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\parser.py:273(parse_node)                                                                            <-       1    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\parser.py:264(parse_block_node)
                                                                                                                                                                         20    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\parser.py:267(parse_flow_node)
                                                                                                                                                                        224    0.000    0.002  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\parser.py:270(parse_block_node_or_indentless_sequence)
C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\control\lti.py:33(__init__)                                                                               <-     114    0.000    0.002  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\control\nlsys.py:115(__init__)
C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\scanner.py:1270(scan_plain)                                                                          <-     205    0.001    0.002  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\scanner.py:668(fetch_plain)
C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\parser.py:270(parse_block_node_or_indentless_sequence)                                               <-     112    0.000    0.001  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\parser.py:427(parse_block_mapping_key)
                                                                                                                                                                        112    0.000    0.001  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\parser.py:446(parse_block_mapping_value)
C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\scipy\linalg\_decomp_qz.py:70(_qz)                                                                        <-      38    0.002    0.002  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\scipy\linalg\_decomp_qz.py:320(ordqz)
C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\control\iosys.py:111(__init__)                                                                            <-     114    0.000    0.002  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\control\lti.py:33(__init__)
C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\core\model.py:96(energy)                                             <-    2000    0.001    0.002  C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\simulation\simulator.py:185(_update_simulation_data)
C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\reader.py:99(forward)                                                                                <-       7    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\scanner.py:430(fetch_flow_collection_start)
                                                                                                                                                                          7    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\scanner.py:453(fetch_flow_collection_end)
                                                                                                                                                                         13    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\scanner.py:470(fetch_flow_entry)
                                                                                                                                                                        112    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\scanner.py:545(fetch_value)
                                                                                                                                                                       3372    0.001    0.001  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\scanner.py:752(scan_to_next_token)
                                                                                                                                                                          4    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\scanner.py:899(scan_anchor)
                                                                                                                                                                          6    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\scanner.py:1134(scan_flow_scalar)
                                                                                                                                                                          3    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\scanner.py:1185(scan_flow_scalar_non_spaces)
                                                                                                                                                                        205    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\scanner.py:1270(scan_plain)
                                                                                                                                                                        405    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\scanner.py:1311(scan_plain_spaces)
                                                                                                                                                                        198    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\scanner.py:1416(scan_line_break)
C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\scipy\_lib\_util.py:491(_asarray_validated)                                                               <-     152    0.000    0.001  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\scipy\linalg\_basic.py:411(solve_triangular)
                                                                                                                                                                         38    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\scipy\linalg\_basic.py:1097(inv)
                                                                                                                                                                         38    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\scipy\linalg\_basic.py:1723(matrix_balance)
                                                                                                                                                                        152    0.000    0.001  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\scipy\linalg\_solvers.py:753(_are_validate_args)
C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\control\statesp.py:1515(ss)                                                                               <-      38    0.000    0.002  C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\utils\lqr_handler.py:150(_discretize_system)
C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\scanner.py:145(need_more_tokens)                                                                     <-    2263    0.001    0.001  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\scanner.py:113(check_token)
                                                                                                                                                                        281    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\scanner.py:125(peek_token)
                                                                                                                                                                        521    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\scanner.py:135(get_token)
C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\core\fromnumeric.py:2416(_all_dispatcher)                                                           <-      38    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\core\numeric.py:2170(allclose)
                                                                                                                                                                         76    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\core\numeric.py:2249(isclose)
                                                                                                                                                                      12000    0.001    0.001  C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\core\model.py:186(step)
                                                                                                                                                                      16000    0.001    0.001  C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\core\model.py:216(state_derivative_func)
                                                                                                                                                                         38    0.000    0.000  C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\utils\lqr_handler.py:30(_compute_gain_cached)
C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numba\core\serialize.py:30(_numba_unpickle)                                                               <-    8000    0.002    0.002  C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\core\physics_computations.py:248(compute_state_derivative)
C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\scipy\signal\_lti_conversion.py:335(cont2discrete)                                                        <-      38    0.000    0.002  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\control\statesp.py:1229(sample)
C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\linalg\linalg.py:1825(matrix_rank)                                                                  <-      38    0.000    0.002  C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\utils\lqr_handler.py:30(_compute_gain_cached)
C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\scipy\linalg\_decomp_qr.py:26(qr)                                                                         <-      38    0.000    0.001  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\scipy\linalg\_solvers.py:544(solve_discrete_are)
C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\lib\function_base.py:564(asarray_chkfinite)                                                         <-     380    0.000    0.001  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\scipy\_lib\_util.py:491(_asarray_validated)
                                                                                                                                                                         38    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\scipy\linalg\_decomp_lu.py:201(lu)
                                                                                                                                                                         38    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\scipy\linalg\_decomp_qr.py:26(qr)
C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\linalg\linalg.py:1499(svd)                                                                          <-      38    0.001    0.001  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\linalg\linalg.py:1702(cond)
                                                                                                                                                                         38    0.001    0.001  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\linalg\linalg.py:1825(matrix_rank)
C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\linalg\linalg.py:2383(norm)                                                                         <-      76    0.000    0.001  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\scipy\linalg\_solvers.py:544(solve_discrete_are)
                                                                                                                                                                        152    0.000    0.001  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\scipy\linalg\_solvers.py:753(_are_validate_args)
C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\control\iosys.py:676(_process_signal_list)                                                                <-     114    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\control\iosys.py:270(set_inputs)
                                                                                                                                                                        114    0.000    0.001  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\control\iosys.py:303(set_outputs)
                                                                                                                                                                        114    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\control\iosys.py:336(set_states)
C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\linalg\linalg.py:1702(cond)                                                                         <-      38    0.000    0.001  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\scipy\linalg\_solvers.py:544(solve_discrete_are)
C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\core\shape_base.py:215(_vhstack_dispatcher)                                                         <-     114    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\scipy\signal\_lti_conversion.py:335(cont2discrete)
                                                                                                                                                                       2000    0.000    0.001  C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\controllers\LQR_controller.py:143(compute_control_inputs)
                                                                                                                                                                         38    0.000    0.000  C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\utils\lqr_handler.py:155(_scale_matrices)
C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\core\numeric.py:2170(allclose)                                                                      <-      38    0.000    0.001  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\scipy\linalg\_solvers.py:544(solve_discrete_are)
C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\control\iosys.py:570(_process_iosys_keywords)                                                             <-     114    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\control\nlsys.py:115(__init__)
                                                                                                                                                                        114    0.000    0.001  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\control\statesp.py:173(__init__)
C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\scipy\linalg\_basic.py:1723(matrix_balance)                                                               <-      38    0.001    0.001  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\scipy\linalg\_solvers.py:544(solve_discrete_are)
C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\scipy\linalg\_basic.py:411(solve_triangular)                                                              <-      76    0.000    0.001  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\scipy\linalg\_solvers.py:544(solve_discrete_are)
C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\core\numeric.py:2249(isclose)                                                                       <-      38    0.000    0.001  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\core\numeric.py:2170(allclose)
C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\core\integrator.py:47(get_integrator)                                <-    2000    0.001    0.001  C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\core\model.py:186(step)
                                                                                                                                                                          1    0.000    0.000  C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\simulation\simulator.py:15(__init__)
{built-in method numpy.zeros}                                                                                                                                    <-      38    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\core\numeric.py:67(zeros_like)
                                                                                                                                                                        228    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\lib\twodim_base.py:158(eye)
                                                                                                                                                                          4    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\lib\twodim_base.py:234(diag)
                                                                                                                                                                         38    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\lib\twodim_base.py:485(triu)
                                                                                                                                                                         38    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\linalg\linalg.py:2785(_multi_dot_matrix_chain_order)
                                                                                                                                                                         76    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\scipy\linalg\_decomp_lu.py:201(lu)
                                                                                                                                                                         38    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\scipy\linalg\_solvers.py:544(solve_discrete_are)
                                                                                                                                                                         76    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\scipy\signal\_lti_conversion.py:335(cont2discrete)
                                                                                                                                                                          9    0.000    0.000  C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\controllers\LQR_controller.py:89(reset)
                                                                                                                                                                       2000    0.000    0.000  C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\controllers\LQR_controller.py:143(compute_control_inputs)
                                                                                                                                                                        114    0.000    0.000  C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\core\model.py:126(linearize)
                                                                                                                                                                         16    0.000    0.000  C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\simulation\simulator.py:68(reset)
                                                                                                                                                                       2000    0.000    0.000  C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\simulation\simulator.py:185(_update_simulation_data)
                                                                                                                                                                         38    0.000    0.000  C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\utils\lqr_handler.py:30(_compute_gain_cached)
                                                                                                                                                                         38    0.000    0.000  C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\utils\lqr_handler.py:150(_discretize_system)
{built-in method builtins.isinstance}                                                                                                                            <-       1    0.000    0.000  <frozen ntpath>:35(_get_bothseps)
                                                                                                                                                                          1    0.000    0.000  <frozen ntpath>:107(join)
                                                                                                                                                                          3    0.000    0.000  <frozen ntpath>:179(splitroot)
                                                                                                                                                                        418    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\re\__init__.py:280(_compile)
                                                                                                                                                                         38    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\control\iosys.py:538(isctime)
                                                                                                                                                                        342    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\control\iosys.py:570(_process_iosys_keywords)
                                                                                                                                                                        684    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\control\iosys.py:606(pop_with_default)
                                                                                                                                                                        684    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\control\iosys.py:657(_process_dt_keyword)
                                                                                                                                                                        456    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\control\iosys.py:676(_process_signal_list)
                                                                                                                                                                        684    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\control\iosys.py:692(<genexpr>)
                                                                                                                                                                         38    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\control\statesp.py:173(__init__)
                                                                                                                                                                          1    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\core\arrayprint.py:907(__init__)
                                                                                                                                                                        230    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\core\numeric.py:1855(isscalar)
                                                                                                                                                                         38    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\core\shape_base.py:219(vstack)
                                                                                                                                                                       2114    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\core\shape_base.py:292(hstack)
                                                                                                                                                                        304    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\lib\index_tricks.py:326(__getitem__)
                                                                                                                                                                        380    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\ma\core.py:6485(isMaskedArray)
                                                                                                                                                                        380    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\scipy\sparse\_base.py:1401(issparse)
                                                                                                                                                                        244    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\constructor.py:67(construct_object)
                                                                                                                                                                        208    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\constructor.py:117(construct_scalar)
                                                                                                                                                                          7    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\constructor.py:124(construct_sequence)
                                                                                                                                                                        141    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\constructor.py:132(construct_mapping)
                                                                                                                                                                        208    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\constructor.py:173(construct_scalar)
                                                                                                                                                                         29    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\constructor.py:215(construct_mapping)
                                                                                                                                                                        724    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\parser.py:94(check_event)
                                                                                                                                                                          2    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\reader.py:59(__init__)
                                                                                                                                                                          1    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\reader.py:122(determine_encoding)
                                                                                                                                                                       2363    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\scanner.py:113(check_token)
C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\core\physics_computations.py:217(compute_system_energy)              <-    2000    0.001    0.001  C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\core\model.py:96(energy)
C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\composer.py:99(compose_sequence_node)                                                                <-       7    0.000    0.001  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\composer.py:63(compose_node)
C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\scipy\linalg\_matfuncs.py:217(expm)                                                                       <-      38    0.000    0.001  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\scipy\signal\_lti_conversion.py:335(cont2discrete)
C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\scipy\linalg\_decomp_lu.py:201(lu)                                                                        <-      38    0.001    0.001  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\scipy\linalg\_solvers.py:544(solve_discrete_are)
C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\controllers\LQR_controller.py:181(should_recalculate_gain)           <-    2000    0.001    0.001  C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\controllers\LQR_controller.py:143(compute_control_inputs)
C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\core\shape_base.py:207(_arrays_for_stack_dispatcher)                                                <-    2152    0.001    0.001  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\core\shape_base.py:215(_vhstack_dispatcher)
{method 'all' of 'numpy.ndarray' objects}                                                                                                                        <-     456    0.000    0.001  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\lib\function_base.py:564(asarray_chkfinite)
C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\core\numeric.py:2330(within_tol)                                                                    <-      38    0.000    0.001  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\core\numeric.py:2249(isclose)
C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\parser.py:476(parse_flow_sequence_entry)                                                             <-      20    0.000    0.001  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\parser.py:94(check_event)
                                                                                                                                                                          7    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\parser.py:471(parse_flow_sequence_first_entry)
C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\linalg\linalg.py:2643(multi_dot)                                                                    <-      38    0.000    0.001  C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\utils\lqr_handler.py:30(_compute_gain_cached)
C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\scanner.py:1311(scan_plain_spaces)                                                                   <-     205    0.000    0.001  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\scanner.py:1270(scan_plain)
C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\constructor.py:54(construct_document)                                                                <-       1    0.000    0.001  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\constructor.py:47(get_single_data)
C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\reader.py:87(peek)                                                                                   <-     350    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\scanner.py:156(fetch_more_tokens)
                                                                                                                                                                          4    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\scanner.py:706(check_block_entry)
                                                                                                                                                                        112    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\scanner.py:721(check_value)
                                                                                                                                                                        209    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\scanner.py:731(check_plain)
                                                                                                                                                                       4383    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\scanner.py:752(scan_to_next_token)
                                                                                                                                                                         38    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\scanner.py:899(scan_anchor)
                                                                                                                                                                          6    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\scanner.py:1134(scan_flow_scalar)
                                                                                                                                                                         40    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\scanner.py:1185(scan_flow_scalar_non_spaces)
                                                                                                                                                                       1940    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\scanner.py:1270(scan_plain)
                                                                                                                                                                        928    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\scanner.py:1311(scan_plain_spaces)
                                                                                                                                                                        548    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\scanner.py:1416(scan_line_break)
C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\scanner.py:279(stale_possible_simple_keys)                                                           <-    2830    0.001    0.001  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\scanner.py:145(need_more_tokens)
                                                                                                                                                                        350    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\scanner.py:156(fetch_more_tokens)
{method 'append' of 'list' objects}                                                                                                                              <-    4228    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\core\shape_base.py:23(atleast_1d)
                                                                                                                                                                        266    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\core\shape_base.py:81(atleast_2d)
                                                                                                                                                                        228    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\lib\index_tricks.py:326(__getitem__)
                                                                                                                                                                         20    0.000    0.000  C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\composer.py:99(compose_sequence_node)
