Generation,Best_Fitness,Time_to_Target,Max_Theta1,Max_Theta2,Max_X_Deviation,Max_L_Deviation,Max_X_Acceleration,Max_L_Acceleration,Max_X_Jerk,Max_L_Jerk,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,R1,R2,Fitness_ISE_x,Fitness_ISE_l,Fitness_ISE_theta1,Fitness_ISE_theta2,Fitness_MSE_theta1,Fitness_MSE_theta2,Fitness_q_ddot1_value,Fitness_q_ddot3_value,Fitness_MSE_time
1,-5860.662379409198,7.58,2.1971574270803855,2.230907101341468,4.559433275375113e-09,9.424994118489849e-10,7.207537215140795,5.310662555647016,394.39570553132734,264.36765038005933,1203477655193.6843,93761212683.20781,9765275450015.129,9505481231958.088,371681605402.02124,66258901647.76004,150771407171.46173,31993607717.97731,30672.331165049243,96063599.29921867,1927.7574607094166,534.19456622683,0.0,261.3341907954224,0.0,2986.167896889474,141.01568389975648,10.192580888298446,0
2,-5860.662379409198,7.58,2.1971574270803855,2.230907101341468,4.559433275375113e-09,9.424994118489849e-10,7.207537215140795,5.310662555647016,394.39570553132734,264.36765038005933,1203477655193.6843,93761212683.20781,9765275450015.129,9505481231958.088,371681605402.02124,66258901647.76004,150771407171.46173,31993607717.97731,30672.331165049243,96063599.29921867,1927.7574607094166,534.19456622683,0.0,261.3341907954224,0.0,2986.167896889474,141.01568389975648,10.192580888298446,0
3,-5860.662379409198,7.58,2.1971574270803855,2.230907101341468,4.559433275375113e-09,9.424994118489849e-10,7.207537215140795,5.310662555647016,394.39570553132734,264.36765038005933,1203477655193.6843,93761212683.20781,9765275450015.129,9505481231958.088,371681605402.02124,66258901647.76004,150771407171.46173,31993607717.97731,30672.331165049243,96063599.29921867,1927.7574607094166,534.19456622683,0.0,261.3341907954224,0.0,2986.167896889474,141.01568389975648,10.192580888298446,0
4,-5860.662379409198,7.58,2.1971574270803855,2.230907101341468,4.559433275375113e-09,9.424994118489849e-10,7.207537215140795,5.310662555647016,394.39570553132734,264.36765038005933,1203477655193.6843,93761212683.20781,9765275450015.129,9505481231958.088,371681605402.02124,66258901647.76004,150771407171.46173,31993607717.97731,30672.331165049243,96063599.29921867,1927.7574607094166,534.19456622683,0.0,261.3341907954224,0.0,2986.167896889474,141.01568389975648,10.192580888298446,0
5,-5860.662379409198,7.58,2.1971574270803855,2.230907101341468,4.559433275375113e-09,9.424994118489849e-10,7.207537215140795,5.310662555647016,394.39570553132734,264.36765038005933,1203477655193.6843,93761212683.20781,9765275450015.129,9505481231958.088,371681605402.02124,66258901647.76004,150771407171.46173,31993607717.97731,30672.331165049243,96063599.29921867,1927.7574607094166,534.19456622683,0.0,261.3341907954224,0.0,2986.167896889474,141.01568389975648,10.192580888298446,0
6,-5559.315074275115,7.58,2.191354609456551,2.225558337858309,4.695357880279971e-09,1.9984014443252818e-15,0.31644022042128755,9.81,2.425452280402498,333.89572051927667,1203477655193.6843,4410859503719.778,9765275450015.129,9505481231958.088,371681605402.02124,66258901647.76004,150771407171.46173,31993607717.97731,30672.331165049243,28543055.667076316,1805.5613090141424,53.30677089510963,0.0,247.37871585546668,0.0,2971.865949126383,481.18050000000005,0.02182938401375309,0
7,-5559.315074275115,7.58,2.191354609456551,2.225558337858309,4.695357880279971e-09,1.9984014443252818e-15,0.31644022042128755,9.81,2.425452280402498,333.89572051927667,1203477655193.6843,4410859503719.778,9765275450015.129,9505481231958.088,371681605402.02124,66258901647.76004,150771407171.46173,31993607717.97731,30672.331165049243,28543055.667076316,1805.5613090141424,53.30677089510963,0.0,247.37871585546668,0.0,2971.865949126383,481.18050000000005,0.02182938401375309,0
8,-5559.315074275115,7.58,2.191354609456551,2.225558337858309,4.695357880279971e-09,1.9984014443252818e-15,0.31644022042128755,9.81,2.425452280402498,333.89572051927667,1203477655193.6843,4410859503719.778,9765275450015.129,9505481231958.088,371681605402.02124,66258901647.76004,150771407171.46173,31993607717.97731,30672.331165049243,28543055.667076316,1805.5613090141424,53.30677089510963,0.0,247.37871585546668,0.0,2971.865949126383,481.18050000000005,0.02182938401375309,0
9,-5559.315074275115,7.58,2.191354609456551,2.225558337858309,4.695357880279971e-09,1.9984014443252818e-15,0.31644022042128755,9.81,2.425452280402498,333.89572051927667,1203477655193.6843,4410859503719.778,9765275450015.129,9505481231958.088,371681605402.02124,66258901647.76004,150771407171.46173,31993607717.97731,30672.331165049243,28543055.667076316,1805.5613090141424,53.30677089510963,0.0,247.37871585546668,0.0,2971.865949126383,481.18050000000005,0.02182938401375309,0
10,-5559.315074275115,7.58,2.191354609456551,2.225558337858309,4.695357880279971e-09,1.9984014443252818e-15,0.31644022042128755,9.81,2.425452280402498,333.89572051927667,1203477655193.6843,4410859503719.778,9765275450015.129,9505481231958.088,371681605402.02124,66258901647.76004,150771407171.46173,31993607717.97731,30672.331165049243,28543055.667076316,1805.5613090141424,53.30677089510963,0.0,247.37871585546668,0.0,2971.865949126383,481.18050000000005,0.02182938401375309,0
11,-5559.315074275115,7.58,2.191354609456551,2.225558337858309,4.695357880279971e-09,1.9984014443252818e-15,0.31644022042128755,9.81,2.425452280402498,333.89572051927667,1203477655193.6843,4410859503719.778,9765275450015.129,9505481231958.088,371681605402.02124,66258901647.76004,150771407171.46173,31993607717.97731,30672.331165049243,28543055.667076316,1805.5613090141424,53.30677089510963,0.0,247.37871585546668,0.0,2971.865949126383,481.18050000000005,0.02182938401375309,0
